id,name,sku,barcode,length_in,width_in,height_in,weight_lbs,total_fulfillable_qty
,Particle Face Cream,751889384926,,6.1,2.56,2.56,,
,Particle Shaving Gel,00860012469772,,7.2,2.15,2.13,,
,Particle Instant Eye Firming Cream,00860012469796,,4.15,2.5,2.4,,
,Particle Invisible Sunscreen,860010338483,,6.3,1.85,1.35,,
,Particle Face Wash,636665869647,,6.5,2.0,2.0,,
,Particle Face Mask,636665869654,,3.66,2.8,2.8,,
,Particle Lip Balm 7ml,00860012469789,,3.05,0.9,0.85,,
,Particle Gravite Cologne,860005339785,,5.6,5.0,2.5,,
,Varros Perfume - 100ml,00860012469765,,5.85,3.6,2.15,,
,Particle Dark Spot Hand Cream,00860014497216,,6.2,2.45,2.43,,
,Particle Gravite Deodorant,860012469710,,6.3,2.17,2.15,,
,Ab Firming Cream,860010338421,,6.0,2.87,2.85,,
,Particle Neck Cream,860005339778,,6.1,2.62,2.62,,
,Particle Body Wash,636665869678,,6.81,3.15,1.97,,
,Particle Anti-Gray Serum,860012469703,,5.25,2.25,2.25,,
,Particle Hair Revival Kit,860005339730,,6.69,5.91,2.76,,
,Particle Shampoo,636665869661,,6.81,3.15,1.97,,
,Particle Beard Oil,860005339723,,4.13,2.48,2.48,,
,Particle Infinite Male,860012469727,,4.15,1.93,1.93,,
,Particle Skin Vitamin Gummy,860005339747,,2.27,2.25,4.45,,
,Particle Hair Vitamin Gummy,860005339761,,2.27,2.27,4.45,,
14648937,Scalp Massager,9162027,,6.31,4.34,3.36,"{'unit': 'oz', 'value': 4.09}",
22472758,Particle branded comb,70113000,,8.5,8.28,2.1,"{'unit': 'oz', 'value': 27.73}",
22472759,Particle branded nose hair trimmer,70114000,,3.45,2.72,1.15,"{'unit': 'oz', 'value': 1.47}",
22817579,Gravite tester 1.5ml,70117000,,4.9,3.1,1.3,"{'unit': 'oz', 'value': 0.16}",
20985718,Particle Shaving Cream Stand + Hourglass,00860012469758,,8.05,4.37,1.55,"{'unit': 'oz', 'value': 6.8}",
